train sample numbers: 50
train label numbers: 50
network neuron numbers per layer (input layer on the far left): 
(272 22 10)
train starting...


No. 0	mean error: 2.032763858965585
No. 1	mean error: 0.4576184811069128
No. 2	mean error: 0.4542052541248507
No. 3	mean error: 0.4516713136729016
No. 4	mean error: 0.4501505982784568
No. 5	mean error: 0.449205690643984
No. 6	mean error: 0.44858574324522427
No. 7	mean error: 0.44815959071923817
No. 8	mean error: 0.44785489441731835
No. 9	mean error: 0.44762950579831673
No. 10	mean error: 0.44745791206811203
No. 11	mean error: 0.4473240962513239
No. 12	mean error: 0.447217632814559
No. 13	mean error: 0.4471314924038468
No. 14	mean error: 0.4470607727367597
No. 15	mean error: 0.447001949739589
No. 16	mean error: 0.4469524250504693
No. 17	mean error: 0.44691024367518317
No. 18	mean error: 0.44687391117720265
No. 19	mean error: 0.4468422708885465
No. 20	mean error: 0.44681441866729266
No. 21	mean error: 0.44678964205568017
No. 22	mean error: 0.44676737587903587
No. 23	mean error: 0.44674716927998837
No. 24	mean error: 0.4467286609155907
No. 25	mean error: 0.4467115600971493
No. 26	mean error: 0.446695632316495
No. 27	mean error: 0.44668068803927663
No. 28	mean error: 0.4466665739457214
No. 29	mean error: 0.4466531660132383
No. 30	mean error: 0.4466403639925549
No. 31	mean error: 0.4466280869468423
No. 32	mean error: 0.4466162696118673
No. 33	mean error: 0.4466048594012155
No. 34	mean error: 0.4465938139289306
No. 35	mean error: 0.44658309895626686
No. 36	mean error: 0.4465726866929704
No. 37	mean error: 0.4465625543993687
No. 38	mean error: 0.4465526832459173
No. 39	mean error: 0.4465430573936149
No. 40	mean error: 0.4465336632632617
No. 41	mean error: 0.4465244889648676
No. 42	mean error: 0.44651552386127413
No. 43	mean error: 0.4465067582425671
No. 44	mean error: 0.44649818309032807
No. 45	mean error: 0.4464897899132298
No. 46	mean error: 0.44648157063791516
No. 47	mean error: 0.4464735175415025
No. 48	mean error: 0.44646562321429933
No. 49	mean error: 0.446457880543433
No. 50	mean error: 0.44645028270999876
No. 51	mean error: 0.44644282319401596
No. 52	mean error: 0.4464354957829268
No. 53	mean error: 0.44642829458059863
No. 54	mean error: 0.44642121401477447
No. 55	mean error: 0.4464142488417277
No. 56	mean error: 0.4464073941474664
No. 57	mean error: 0.4464006453453023
No. 58	mean error: 0.4463939981699069
No. 59	mean error: 0.44638744866819663
No. 60	mean error: 0.4463809931875037
No. 61	mean error: 0.4463746283615598
No. 62	mean error: 0.44636835109481976
No. 63	mean error: 0.4463621585456394
No. 64	mean error: 0.4463560481087675
No. 65	mean error: 0.4463500173975696
No. 66	mean error: 0.4463440642263214
No. 67	mean error: 0.44633818659286606
No. 68	mean error: 0.4463323826618533
No. 69	mean error: 0.4463266507487426
No. 70	mean error: 0.4463209893046821
No. 71	mean error: 0.4463153969023569
No. 72	mean error: 0.44630987222284846
No. 73	mean error: 0.44630441404352716
No. 74	mean error: 0.4462990212269721
No. 75	mean error: 0.44629369271089986
No. 76	mean error: 0.4462884274990623
No. 77	mean error: 0.44628322465306985
No. 78	mean error: 0.4462780832850909
No. 79	mean error: 0.4462730025513595
No. 80	mean error: 0.4462679816464422
No. 81	mean error: 0.4462630197981947
No. 82	mean error: 0.4462581162633502
No. 83	mean error: 0.4462532703236824
No. 84	mean error: 0.44624848128267547
No. 85	mean error: 0.4462437484626601
No. 86	mean error: 0.4462390712023523
No. 87	mean error: 0.4462344488547515
No. 88	mean error: 0.4462298807853537
No. 89	mean error: 0.44622536637063914
No. 90	mean error: 0.4462209049967948
No. 91	mean error: 0.4462164960586435
No. 92	mean error: 0.44621213895874257
No. 93	mean error: 0.4462078331066385
No. 94	mean error: 0.4462035779182394
No. 95	mean error: 0.4461993728152985
No. 96	mean error: 0.4461952172249849
No. 97	mean error: 0.44619111057952976
No. 98	mean error: 0.44618705231593225
No. 99	mean error: 0.44618304187572166
No. 100	mean error: 0.44617907870475904
No. 101	mean error: 0.4461751622530768
No. 102	mean error: 0.44617129197475014
No. 103	mean error: 0.4461674673277908
No. 104	mean error: 0.4461636877740659
No. 105	mean error: 0.4461599527792341
No. 106	mean error: 0.44615626181269813
No. 107	mean error: 0.44615261434757064
No. 108	mean error: 0.44614900986065437
No. 109	mean error: 0.4461454478324295
No. 110	mean error: 0.4461419277470559
No. 111	mean error: 0.44613844909237893
No. 112	mean error: 0.44613501135994627
No. 113	mean error: 0.44613161404503004
No. 114	mean error: 0.4461282566466555
No. 115	mean error: 0.44612493866763464
No. 116	mean error: 0.4461216596146058
No. 117	mean error: 0.44611841899807453
No. 118	mean error: 0.4461152163324604
No. 119	mean error: 0.44611205113614505
No. 120	mean error: 0.446108922931523
No. 121	mean error: 0.44610583124505143
No. 122	mean error: 0.44610277560730616
No. 123	mean error: 0.4460997555530316
No. 124	mean error: 0.44609677062119474
No. 125	mean error: 0.44609382035503636
No. 126	mean error: 0.446090904302123
No. 127	mean error: 0.4460880220143943
No. 128	mean error: 0.44608517304821255
No. 129	mean error: 0.4460823569644057
No. 130	mean error: 0.44607957332831055
No. 131	mean error: 0.4460768217098126
No. 132	mean error: 0.4460741016833817
No. 133	mean error: 0.4460714128281071
No. 134	mean error: 0.4460687547277248
No. 135	mean error: 0.4460661269706458
No. 136	mean error: 0.446063529149979
No. 137	mean error: 0.44606096086354907
No. 138	mean error: 0.4460584217139143
No. 139	mean error: 0.4460559113083758
No. 140	mean error: 0.4460534292589877
No. 141	mean error: 0.44605097518256254
No. 142	mean error: 0.44604854870066996
No. 143	mean error: 0.4460461494396379
No. 144	mean error: 0.4460437770305441
No. 145	mean error: 0.44604143110920946
No. 146	mean error: 0.4460391113161861
No. 147	mean error: 0.44603681729674105
No. 148	mean error: 0.4460345487008409
No. 149	mean error: 0.44603230518312953
No. 150	mean error: 0.4460300864029068
No. 151	mean error: 0.44602789202410165
No. 152	mean error: 0.4460257217152456
No. 153	mean error: 0.4460235751494428
No. 154	mean error: 0.4460214520043374
No. 155	mean error: 0.4460193519620806
No. 156	mean error: 0.4460172747092947
No. 157	mean error: 0.4460152199370366
No. 158	mean error: 0.44601318734075757
No. 159	mean error: 0.4460111766202651
No. 160	mean error: 0.44600918747968044
No. 161	mean error: 0.4460072196273967
No. 162	mean error: 0.4460052727760345
No. 163	mean error: 0.4460033466423988
No. 164	mean error: 0.4460014409474317
No. 165	mean error: 0.4459995554161692
No. 166	mean error: 0.44599768977769133
No. 167	mean error: 0.44599584376507795
No. 168	mean error: 0.44599401711535813
No. 169	mean error: 0.44599220956946484
No. 170	mean error: 0.44599042087218377
No. 171	mean error: 0.4459886507721066
No. 172	mean error: 0.4459868990215816
No. 173	mean error: 0.44598516537666383
No. 174	mean error: 0.4459834495970663
No. 175	mean error: 0.4459817514461114
No. 176	mean error: 0.44598007069068096
No. 177	mean error: 0.44597840710116765
No. 178	mean error: 0.4459767604514259
No. 179	mean error: 0.4459751305187226
No. 180	mean error: 0.4459735170836891
No. 181	mean error: 0.44597191993027235
No. 182	mean error: 0.4459703388456863
No. 183	mean error: 0.4459687736203661
No. 184	mean error: 0.44596722404791733
No. 185	mean error: 0.4459656899250715
No. 186	mean error: 0.4459641710516376
No. 187	mean error: 0.44596266723045586
No. 188	mean error: 0.4459611782673527
No. 189	mean error: 0.4459597039710935
No. 190	mean error: 0.44595824415333873
No. 191	mean error: 0.44595679862859794
No. 192	mean error: 0.44595536721418655
No. 193	mean error: 0.44595394973018093
No. 194	mean error: 0.4459525459993759
No. 195	mean error: 0.44595115584724154
No. 196	mean error: 0.4459497791018808
No. 197	mean error: 0.4459484155939877
No. 198	mean error: 0.4459470651568052
No. 199	mean error: 0.4459457276260863

train finished...

test starting...

0.08668927686111563		0
0.1385124751470823		0
0.08922230185519357		0
0.17345730079563879		1
0.10360632343359877		0
0.0876937413442552		0
0.1033249969615546		0
0.06748286653040822		0
0.09291839567948552		0
0.12834048325696015		0

0.08668927686111563		1
0.1385124751470823		0
0.08922230185519357		0
0.17345730079563879		0
0.10360632343359877		0
0.0876937413442552		0
0.1033249969615546		0
0.06748286653040822		0
0.09291839567948552		0
0.12834048325696015		0

0.08668927686111563		0
0.1385124751470823		0
0.08922230185519357		0
0.17345730079563879		0
0.10360632343359877		0
0.0876937413442552		0
0.1033249969615546		0
0.06748286653040822		1
0.09291839567948552		0
0.12834048325696015		0

0.08668927686111563		0
0.1385124751470823		0
0.08922230185519357		0
0.17345730079563879		0
0.10360632343359877		1
0.0876937413442552		0
0.1033249969615546		0
0.06748286653040822		0
0.09291839567948552		0
0.12834048325696015		0

0.08668927686111563		0
0.1385124751470823		0
0.08922230185519357		0
0.17345730079563879		0
0.10360632343359877		0
0.0876937413442552		0
0.1033249969615546		0
0.06748286653040822		0
0.09291839567948552		0
0.12834048325696015		1

test finished
